arrival_time,queue_len_at_arrival,service_time,start_service_time,completion_time,wait_time,system_time,priority
6.349,0,11.052,6.349,17.401,0.000,11.052,1
9.327,0,9.569,9.327,18.896,0.000,9.569,1
16.880,0,10.340,16.880,27.220,0.000,10.340,1
20.268,0,25.796,20.268,46.064,0.000,25.796,1
24.361,0,12.056,24.361,36.416,0.000,12.056,1
26.117,0,12.718,27.220,39.938,1.104,13.822,1
26.899,1,6.888,36.416,43.304,9.517,16.405,1
28.430,1,3.804,43.111,46.915,14.681,18.485,1
34.892,2,6.563,43.304,49.867,8.413,14.976,1
38.812,2,3.173,39.938,43.111,1.126,4.299,0
45.930,0,5.253,46.064,51.317,0.134,5.387,1
68.030,0,28.519,68.030,96.549,0.000,28.519,1
78.630,0,11.850,78.630,90.480,0.000,11.850,1
79.913,0,14.247,79.913,94.160,0.000,14.247,0
82.373,0,2.977,94.160,97.137,11.787,14.764,1
85.604,1,57.530,90.480,148.009,4.876,62.405,0
98.892,0,72.100,98.892,170.992,0.000,72.100,1
99.754,0,3.818,99.754,103.571,0.000,3.818,1
99.949,0,28.109,103.571,131.680,3.622,31.731,1
111.532,0,3.637,131.680,135.316,20.148,23.785,1
112.245,1,2.786,135.316,138.102,23.071,25.857,1
127.864,2,5.519,148.009,153.528,20.145,25.663,1
130.581,3,4.513,151.401,155.914,20.820,25.333,1
134.962,3,5.914,155.914,161.828,20.952,26.866,1
135.828,3,13.299,138.102,151.401,2.274,15.572,0
138.860,3,2.161,156.190,158.351,17.331,19.492,1
144.294,4,3.524,158.351,161.875,14.057,17.581,1
145.014,5,22.628,161.828,184.456,16.814,39.441,1
145.033,6,2.427,161.875,164.302,16.842,19.269,1
148.117,6,6.844,170.992,177.836,22.875,29.719,1
152.871,6,2.662,153.528,156.190,0.657,3.320,0
157.082,4,5.242,177.836,183.078,20.754,25.996,1
162.803,2,32.727,164.302,197.028,1.499,34.225,0
166.534,2,5.902,183.078,188.980,16.544,22.446,1
170.041,3,9.996,184.456,194.452,14.415,24.412,1
176.792,3,6.167,188.980,195.148,12.188,18.355,1
178.682,3,5.435,194.452,199.887,15.771,21.206,1
187.325,2,2.679,195.148,197.826,7.822,10.501,1
187.881,3,9.960,197.028,206.989,9.147,19.107,1
197.310,0,22.337,197.826,220.163,0.517,22.854,1
198.373,0,6.131,199.887,206.018,1.514,7.646,1
200.957,0,15.255,206.018,221.274,5.062,20.317,0
209.826,0,11.439,209.826,221.265,0.000,11.439,1
215.931,0,6.219,220.163,226.382,4.232,10.451,1
228.587,0,17.563,228.587,246.150,0.000,17.563,1
